anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Image URL
27,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,8.29,"Action, Adventure, Comedy, Romance","In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans.

Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels.

Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals?",TV,94,"Jan 10, 1996 to Sep 8, 1998",Finished Airing,"Aniplex, SME Visual Works, Fuji TV","Media Blasters, Aniplex of America","Gallop, Studio Deen",Manga,25 min per ep,PG-13 - Teens 13 or older,249,432,9907,https://cdn.myanimelist.net/images/anime/1346/119505.jpg
28,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X: The Motion Picture,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,7.55,Drama,"The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta.

(Source: ANN)",Movie,1,"Dec 20, 1997",Finished Airing,"Fuji TV, Sony Music Entertainment","ADV Films, Aniplex of America",Gallop,Manga,1 hr 31 min,R - 17+ (violence & profanity),1567,2885,88,https://cdn.myanimelist.net/images/anime/4/47845.jpg
29,Akira,Akira,AKIRA（アキラ）,8.16,"Action, Adventure, Horror, Sci-Fi, Supernatural","Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns.""

During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.",Movie,1,"Jul 16, 1988",Finished Airing,"Mainichi Broadcasting System, Kodansha, Toho, Streamline Pictures","Funimation, Bandai Entertainment, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,2 hr 4 min,R+ - Mild Nudity,389,208,12961,https://cdn.myanimelist.net/images/anime/1408/114012.jpg
30,.hack//Sign,.hack//Sign,.hack//SIGN,6.95,"Adventure, Fantasy, Mystery","A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the Crimson Knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way.

As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.",TV,26,"Apr 4, 2002 to Sep 26, 2002",Finished Airing,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,24 min per ep,PG-13 - Teens 13 or older,4172,1243,1343,https://cdn.myanimelist.net/images/anime/1443/94665.jpg
31,Aa! Megami-sama!,Oh! My Goddess,ああっ女神さまっ,7.29,"Comedy, Romance, Supernatural","When college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in.",OVA,5,"Feb 21, 1993 to May 17, 1994",Finished Airing,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AnimEigo,AIC,Manga,30 min per ep,PG-13 - Teens 13 or older,2542,2832,246,https://cdn.myanimelist.net/images/anime/11/71215.jpg
32,Aa! Megami-sama! (TV),Ah! My Goddess,ああっ女神さまっ,7.32,"Comedy, Romance, Supernatural","In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted.

Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance.",TV,24,"Jan 7, 2005 to Jul 8, 2005",Finished Airing,"Bandai Visual, TBS, Imagine","Media Blasters, NYAV Post",AIC,Manga,24 min per ep,PG-13 - Teens 13 or older,2407,1392,1115,https://cdn.myanimelist.net/images/anime/1976/99376.jpg
33,Tenshi Kinryouku,Angel Sanctuary,天使禁猟区,6.27,"Action, Drama, Romance, Supernatural","Setsuna Mudo is a 16-year-old high school student just trying to get by without running afoul of his bullying seniors. It doesn't help that he's in love with his younger sister, Sara, who only sees him once a month. But there's more to his life than just keeping his head down.

Setsuna is ambushed by mysterious beings, angels, and demons, all professing to know his true destiny. The angels say he is the reincarnation of their leader Alexiel, while the demons claim he led them to war against God himself.

As Setsuna struggles with his identity in such strange times, the eternal conflict between Heaven and Hell threatens to reignite. Will he be prepared when it does?",OVA,3,"May 25, 2000 to Aug 25, 2000",Finished Airing,"Bandai Visual, Lantis, Audio Tanaka",Media Blasters,Hal Film Maker,Manga,29 min per ep,R+ - Mild Nudity,7564,2958,182,https://cdn.myanimelist.net/images/anime/11/45208.jpg
34,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer,機動天使エンジェリックレイヤー,7.26,"Award Winning, Comedy, Drama, Sci-Fi, Sports","12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation.",TV,26,"Apr 1, 2001 to Sep 23, 2001",Finished Airing,"Dentsu, TV Tokyo Music","ADV Films, Sentai Filmworks",Bones,Manga,24 min per ep,PG-13 - Teens 13 or older,2727,2707,291,https://cdn.myanimelist.net/images/anime/1192/113699.jpg
35,Ai Yori Aoshi,Ai Yori Aoshi,藍より青し,7.11,"Comedy, Drama, Romance","Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kaoru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.",TV,24,"Apr 11, 2002 to Sep 26, 2002",Finished Airing,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,23 min per ep,PG-13 - Teens 13 or older,3471,1839,447,https://cdn.myanimelist.net/images/anime/7/10172.jpg
36,Appleseed (Movie),UNKNOWN,アップルシード,7.06,"Action, Drama, Sci-Fi","Growing out of the chaos of a global war, the city of Utopia is populated by humans and bioroids (artificial humans). On the surface, everything is harmonious, but tensions lurk. Into this seemingly perfect society comes a survivor of the wars, Deunan Knute, who carries a legacy that will turn out to be of critical importance to the future of humanity.

(Source: ANN)",Movie,1,"Apr 17, 2004",Finished Airing,"Mainichi Broadcasting System, Toho, TYO Animations, TYO","Sentai Filmworks, Geneon Entertainment USA",Digital Frontier,Manga,1 hr 45 min,R - 17+ (violence & profanity),3723,2370,170,https://cdn.myanimelist.net/images/anime/9/57231.jpg
37,Arc the Lad,UNKNOWN,アークザラッド,6.51,"Action, Adventure, Fantasy, Horror, Sci-Fi","The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies.

(Source: ANN)",TV,26,"Apr 5, 1999 to Oct 11, 1999",Finished Airing,"Sony Pictures Entertainment, Aniplex, Sony Interactive Entertainment",ADV Films,Bee Train,Game,22 min per ep,R - 17+ (violence & profanity),6294,5012,14,https://cdn.myanimelist.net/images/anime/3/49041.jpg
38,Avenger,UNKNOWN,アヴェンジャー,5.86,"Adventure, Fantasy, Sci-Fi","Mars has been colonized and is a world where children have been replaced by robot servants known as ""dolls."" Layla is a skilled fighter with a tragic past who travels about the world. Her companions are Nei, a strange and unique doll with some unknown ties to Layla, and Speedy, who is a doll breeder. The founders of Mars see the trio as a threat to their world, and each time they attack Layla and Nei a bit more of their mysterious past and future is revealed.",TV,13,"Oct 2, 2003 to Dec 25, 2003",Finished Airing,Yomiko Advertising,Bandai Entertainment,Bee Train,Original,24 min per ep,R - 17+ (violence & profanity),9454,4856,20,https://cdn.myanimelist.net/images/anime/13/19921.jpg
39,Beck,Beck: Mongolian Chop Squad,ベック,8.29,"Comedy, Drama, Slice of Life","Fourteen-year-old Yukio ""Koyuki"" Tanaka is a dispirited young boy with no goals in life. However, this all changes when Koyuki saves a strange-looking dog named Beck from being harassed by a group of local kids. The dog's owner, 16-year-old Ryuusuke ""Ray"" Minami, is an emerging guitarist and the former member of a popular rock band.

After Koyuki meets Ray again in a diner, the older boy leads him to his former band's meeting place and dazzles Koyuki with his amazing guitar skills. Slowly becoming interested in the glamour of western rock culture, Koyuki decides to start playing the guitar while helping Ray achieve his dream of leading the ultimate rock band. Together with Ray's younger sister Maho and a few other members, the two boys launch their career into the world of rock by forming a band called BECK. Beck follows the group's struggles and successes as they spread their fame across Japan.",TV,26,"Oct 7, 2004 to Mar 31, 2005",Finished Airing,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Funimation,Madhouse,Manga,25 min per ep,R - 17+ (violence & profanity),252,669,8149,https://cdn.myanimelist.net/images/anime/11/11636.jpg
40,Blue Gender,Blue Gender,BLUE GENDER,7.03,"Adventure, Drama, Horror, Romance, Sci-Fi","Blue Gender takes place in the not too distant future in a world where things have gone terribly wrong for humanity. Humans have been replaced at the top of the food chain by the Blue, a race of bug-like aliens that have colonized Earth and pushed humans aside. A space station, Second Earth, has been constructed as a safe haven for humans, with the hope of one day reclaiming the Earth once more.

Yuji Kaido was cryogenically frozen, having been suffering from a disease known as B-Cells. Once awakened, he joins a team of soldiers that have come to Earth to extract him. Unfortunately, nothing goes according to plan as they make their way back to Second Earth.

Yuji will have to deal with the horrors of fighting a bloody war as he and the fighters from Second Earth look to survive. Will they be able to win back Earth without losing their humanity?",TV,26,"Oct 8, 1999 to Mar 31, 2000",Finished Airing,"Youmex, Toshiba EMI",Funimation,AIC,Original,23 min per ep,R+ - Mild Nudity,3873,2256,415,https://cdn.myanimelist.net/images/anime/1/2023.jpg
41,Chobits,Chobits,ちょびっツ,7.4,"Comedy, Drama, Romance, Sci-Fi, Ecchi","When computers start to look like humans, can love remain the same?

Hideki Motosuwa is a young country boy who is studying hard to get into college. Coming from a poor background, he can barely afford the expenses, let alone the newest fad: Persocoms, personal computers that look exactly like human beings. One evening while walking home, he finds an abandoned Persocom. After taking her home and managing to activate her, she seems to be defective, as she can only say one word, ""Chii,"" which eventually becomes her name. Unlike other Persocoms, however, Chii cannot download information onto her hard drive, so Hideki decides to teach her about the world the old-fashioned way, while studying for his college entrance exams at the same time.

Along with his friends, Hideki tries to unravel the mystery of Chii, who may be a ""Chobit,"" an urban legend about special units that have real human emotions and thoughts, and love toward their owner. But can romance flourish between a Persocom and a human?",TV,26,"Apr 3, 2002 to Sep 25, 2002",Finished Airing,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min per ep,PG-13 - Teens 13 or older,2080,441,3824,https://cdn.myanimelist.net/images/anime/4/24648.jpg
42,Chrno Crusade,Chrono Crusade,クロノクルセイド,7.62,"Action, Romance, Supernatural","The 1920s was a decade of great change and upheaval, with monstrous demons appearing across America. To combat this menace, the holy organization known as the Order of Magdalene was established. The organization's New York branch is home to the young and reckless Sister Rosette Christopher, as well as her partner Chrno. Tasked with the extermination of demonic threats, the renowned team is excellent at their job, despite causing extensive collateral damage on their missions.

However, both Rosette and Chrno are driven by their dark pasts. Through exterminating demons, Rosette hopes to find her lost brother Joshua who was taken by the sinner and demon, Aion, with whom Chrno also shares a bloody history. The two of them must fight off the increasingly dangerous demonic menace and discover its source, while continuing to search for the truth behind Joshua's disappearance.",TV,24,"Nov 25, 2003 to Jun 10, 2004",Finished Airing,"Lantis, Kadokawa Shoten, Fuji TV","ADV Films, Funimation",Gonzo,Manga,23 min per ep,R - 17+ (violence & profanity),1322,1010,1939,https://cdn.myanimelist.net/images/anime/13/14141.jpg
43,D.N.Angel,D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,7.17,"Action, Comedy, Fantasy, Romance","Daisuke Niwa is a clumsy, block-headed, and wimpy middle school student who has few redeeming qualities. On his 14th birthday, he finally decides to confess his love to his longtime crush Risa Harada, but is rejected.

In an unexpected turn of events, however, Daisuke finds himself transforming into Dark Mousy, the infamous phantom thief, whenever his mind is set on Risa. Though Daisuke is unaware of this strange heritage, his mother is certainly not: since before the boy was born, his mother had been planning for him to steal valuable works of art and let the name of the elusive art thief be known.

With doubt and confusion constantly clouding his mind, Daisuke finds himself struggling in his relationships with classmates and family. And it is not long before Daisuke realizes that he is not the only one with a fated family legacy—his greatest adversary could be the one classmate he is most unwilling to fight.",TV,26,"Apr 3, 2003 to Sep 25, 2003",Finished Airing,Kadokawa Shoten,"ADV Films, Discotek Media",Xebec,Manga,23 min per ep,PG-13 - Teens 13 or older,3180,1211,1257,https://cdn.myanimelist.net/images/anime/1126/98904.jpg
44,D.C.: Da Capo,D.C.~Da Capo~,D.C.～ダ・カーポ～,6.72,"Drama, Romance","Hatsunejima abounds in mysteries—one of which is the town's unwithering cherry trees that are said to grant the most genuine wishes. There are also rumors of people possessing supernatural powers, like Junichi Asakura, who can see other people's dreams and create sweets out of nothing. Alongside his sister Nemu, he enjoys living in peace with his friends at Kazami Academy but chooses to shroud his identity in secrecy.

His tranquil school life comes to a halt when he finds out that his childhood friend Sakura Yoshino has returned from America after six years. She is there for one purpose: to fulfill the promises she made long ago with Junichi. Little does anyone know, however, that Sakura's appearance is bound to change everyone's lives—for better or worse.",TV,26,"Jul 5, 2003 to Dec 27, 2003",Finished Airing,"Lantis, King Records",UNKNOWN,"feel., Zexcs",Visual novel,24 min per ep,PG-13 - Teens 13 or older,5215,2320,194,https://cdn.myanimelist.net/images/anime/4/73936.jpg
45,DearS,DearS,ディアーズ,6.56,"Comedy, Romance, Sci-Fi, Ecchi","One year ago, a UFO containing 150 aliens crash-landed off the shores of Kasai. Because no one could fix their ship, the Japanese Government decided to bestow upon them the designation ""DearS"" and make them into Japanese citizens, teaching them the language, customs, and culture of Japan. However, in order for them to become more familiar with human society, a home-stay program has been enacted to allow them to mingle with other humans.

One misty morning, a truck carrying a capsule that housed one of these aliens ends up dropping it into the riverbank, releasing her from her confinement. She is eventually found by a high school student named Takeya Ikuhara, who saves her from being hit by a truck and takes pity on her, despite being extremely distrustful of their race and wanting nothing to do with them. Upon being named Ren, she imprints upon him as her ""Master"" and serves as his personal ""Slave,"" leaving him with a ""DearS"" who wants to remain with him no matter what and bringing his ordinary, alien-free days to an end.",TV,12,"Jul 11, 2004 to Sep 26, 2004",Finished Airing,"Bandai Visual, Hal Film Maker, Genco, Lantis","Discotek Media, Geneon Entertainment USA",Daume,Manga,23 min per ep,R+ - Mild Nudity,6027,1460,346,https://cdn.myanimelist.net/images/anime/1207/98872.jpg
46,Rozen Maiden,Rozen Maiden,ローゼンメイデン,7.41,"Action, Comedy, Drama","Traumatized by school, Jun Sakurada spends his days at home as a shut-in, purchasing things online, only to send them back before the free trial period ends. So when a note appears on his desk, asking whether or not he would wind something, he assumes it was something he ordered and carelessly circles ""yes,"" changing his life forever.

A box arrives with a wind up doll inside, but this is no ordinary toy: after Jun winds her up, she begins walking and talking as if a normal person. With a haughty attitude, she introduces herself as Shinku, the fifth doll in the Rozen Maiden collection, a group of special dolls made by the legendary dollmaker Rozen. These sisters must battle each other in a competition called the Alice Game with the help of a human to ensure victory. The winner becomes Alice, a real girl who is worthy of meeting their creator.

As more sentient dolls end up taking residence in Jun's house, and a foe from Shinku's past makes her appearance, Jun's life becomes far more complicated than he ever thought possible.",TV,12,"Oct 8, 2004 to Dec 24, 2004",Finished Airing,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min per ep,PG-13 - Teens 13 or older,2053,1120,1936,https://cdn.myanimelist.net/images/anime/1424/108431.jpg
47,Rozen Maiden: Träumend,Rozen Maiden: Träumend,ローゼンメイデン トロイメント,7.62,"Action, Comedy, Drama","As the story of Rozen Maiden closes, a new chapter begins in Rozen Maiden: Träumend. Shinku and the other sentient dolls of the Rozen Maiden collection are living life as usual at Jun Sakurada's house. Having settled into his role as Shinku's partner in the deadly Alice Game, Jun overcomes his former fears and prepares to return to school. And although Shinku and the other dolls idly pass the days by in the comfort of Jun's home, dark times lie ahead as a new foe presents herself: Barasuishou, the seventh Rozen Maiden.

But Barasuishou is a mystery even to her sisters, none of whom have ever laid eyes on her until now. Shinku considers this a sign that the Alice Game is coming to an end, meaning the dolls will soon be forced to fight one another. Haunted by the upcoming battle and nightmares concerning another doll, Shinku begins distancing herself from the others. If she wishes to claim victory, it will come at a high cost—the lives of her sisters.",TV,12,"Oct 21, 2005 to Jan 27, 2006",Finished Airing,"Mellow Head, TBS","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min per ep,PG-13 - Teens 13 or older,1340,1898,450,https://cdn.myanimelist.net/images/anime/4/10242.jpg
48,Azumanga Daiou The Animation,Azumanga Daioh: The Animation,あずまんが大王 THE ANIMATION,7.99,"Comedy, Slice of Life","Chiyo Mihama begins her high school career as one of the strangest students in her freshman class—a tiny, 10-year-old academic prodigy with a fondness for plush dolls and homemade cooking. But her homeroom teacher, Yukari Tanizaki, is the kind of person who would hijack a student's bike to avoid being late, so ""strange"" is a relative word.

There certainly isn't a shortage of peculiar girls in Yukari-sensei's homeroom class. Accompanying Chiyo are students like Tomo Takino, an energetic tomboy with more enthusiasm than brains; Koyomi Mizuhara, Tomo's best friend whose temper has a fuse shorter than Chiyo; and Sakaki, a tall, athletic beauty whose intimidating looks hide a gentle personality and a painful obsession with cats. In addition, transfer student Ayumu Kasuga, a girl with her head stuck in the clouds, fits right in with the rest of the girls—and she has a few interesting theories about Chiyo's pigtails!

Together, this lovable group of girls experience the ups and downs of school life, their many adventures filled with constant laughter, surreal absurdity, and occasionally even touching commentary on the bittersweet, temporal nature of high school.",TV,26,"Apr 9, 2002 to Oct 1, 2002",Finished Airing,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records","ADV Films, Sentai Filmworks",J.C.Staff,4-koma manga,24 min per ep,PG-13 - Teens 13 or older,603,668,6327,https://cdn.myanimelist.net/images/anime/1066/117358.jpg
49,Basilisk: Kouga Ninpou Chou,Basilisk,バジリスク 甲賀忍法帖,7.55,"Action, Drama, Romance","For centuries, the Iga and Kouga ninja clans have engaged in a bitter war. But when a ceasefire is ordered by the powerful warlord Ieyasu Tokugawa, the two clans are forced to put down their arms.

Years later, Gennosuke Kouga, heir of the Kouga clan, and Oboro Iga, heir of the Iga clan, have fallen in love. Through marriage, both heirs aim to bring peace to the clans. But their hopes are dashed when flames of rivalry between their clans are reignited, and they are dragged into another war.

Ieyasu's two grandsons have both claimed to be the next heir to the shogunate. To resolve this dispute, both the Kouga and Iga are ordered to send their 10 best warriors to fight in a bloody battle royale, with each clan representing one of the potential shogunate heirs. Two scrolls with the names of the fighters are given and are to be marked in blood upon the given fighter's death. The prize for winning is the favor of the Tokugawa shogunate for a thousand years. Torn between their love for each other and duty to their clans, Gennosuke and Oboro must ultimately decide the fate of their clans.",TV,24,"Apr 13, 2005 to Sep 21, 2005",Finished Airing,"GDH, Kodansha, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min per ep,R - 17+ (violence & profanity),1539,1213,1371,https://cdn.myanimelist.net/images/anime/1103/133549.jpg
50,Black Cat (TV),Black Cat,ブラックキャット,7.33,"Action, Adventure, Sci-Fi","Completing every job with ruthless accuracy, Train Heartnet is an infamous assassin with no regard for human life. Donning the moniker ""Black Cat"" in the underground world, the elite killer works for the powerful secret organization known only as Chronos.

One gloomy night, the blasé gunman stumbles upon Saya Minatsuki, an enigmatic bounty hunter, and soon develops an odd friendship with her. Influenced by Saya's positive outlook on life, Train begins to rethink his life. Deciding to abandon his role as the Black Cat, he instead opts to head down a virtuous path as an honest bounty hunter. However, Chronos—and particularly Creed Diskenth, Train's possessive underling—is not impressed with Train's sudden change of heart and vows to resort to extreme measures in order to bring back the emissary of bad luck.

This assassin turned ""stray cat"" can only wander so far before the deafening sound of gunfire rings out.",TV,23,"Oct 7, 2005 to Mar 31, 2006",Finished Airing,"GDH, Dentsu, TBS, Sotsu Music Publishing",Funimation,Gonzo,Manga,24 min per ep,PG-13 - Teens 13 or older,2389,846,1779,https://cdn.myanimelist.net/images/anime/1183/133280.jpg
51,Cluster Edge,UNKNOWN,CLUSTER EDGE（クラスターエッジ）,6.31,"Action, Fantasy, Sci-Fi","Cluster Edge Academy isn't just any school; it's THE school, where the offspring of the elite come together to prepare for their roles running a world where artificial soldiers and religious sects are major factors in the battle for total control. Which may be part of why new transfer student Agate Fluorite doesn't quite seem to fit in. It's not just that Agate's enthusiastic attitude stands out among the somber, brooding balance of the student body. There's something about him that demands notice, even from jaded honors students like Beryl Jasper, and from the moment of arrival he's been at the center of a series of mysteries that not even Agate understands. Because Agate's not just another student, he's part of a something so momentous, and dangerous, that the world that built Cluster Edge may not survive its passing.

(Source: Sentai Filmworks)",TV,25,"Oct 5, 2005 to Mar 29, 2006",Finished Airing,"Bandai Visual, Imagine",Sentai Filmworks,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,7357,5917,13,https://cdn.myanimelist.net/images/anime/1980/103243.jpg
52,Full Metal Panic!,Full Metal Panic!,フルメタル・パニック！,7.61,"Action, Comedy, Sci-Fi","Mithril, a covert military institution using state-of-the-art technology to combat terrorist operations, assigns a specialized team to a sensitive mission. Under the command of superior officer Melissa Mao, sergeants Sousuke Sagara and Kurz Weber must secretly protect Kaname Chidori—a teenage girl who unconsciously holds breakthrough scientific knowledge and is considered a ""Whispered""—from intelligence agencies and other organizations pursuing her abilities.

While Kurz and Melissa are to assist him remotely, Sousuke enrolls at Kaname's high school as one of her classmates to closely monitor her. However, his militaristic upbringing and poor social skills lead to a difficult adjustment to civilian life. Not only does he attract unnecessary attention, but his actions frequently make Kaname suspicious of him.

Despite the earnest attempts to fulfill his duty, a terrorist ambush further complicates Sousuke's task. Recognizing the vicious mastermind behind the assault, Sousuke abandons his orders to ensure Kaname's safety.",TV,24,"Jan 8, 2002 to Jun 18, 2002",Finished Airing,"Kadokawa Shoten, KlockWorx","ADV Films, Funimation",Gonzo,Light novel,24 min per ep,R - 17+ (violence & profanity),1356,422,4326,https://cdn.myanimelist.net/images/anime/2/75259.jpg
53,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,8.03,"Action, Comedy","Sergeant Sousuke Sagara returns to Jindai High School to protect the precious war asset, Kaname Chidori, from any threat. However, his lack of social skills and real-life experience result in comical yet dangerous situations, endangering the peaceful school life Kaname longs for. As Sousuke continues to bring a wide range of weapons to school as a means to solve threats—real or fake—Kaname struggles to fulfill her duty as the student council vice president all while keeping him in check.

To ensure a successful mission, Sousuke is occasionally forced to use the costume of a famous amusement park mascot called Bonta-kun. With his technical expertise, he eventually transforms the exuberant uniform into a cutting-edge exoskeleton that has only one dysfunction: the voice translator can only produce the sound ""mofu.""

Full Metal Panic? Fumoffu depicts the adventures of Kaname and Sousuke as they try to live their normal school lives despite the chaos they inadvertently cause.",TV,12,"Aug 26, 2003 to Nov 18, 2003",Finished Airing,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do","ADV Films, Funimation",Kyoto Animation,Light novel,24 min per ep,PG-13 - Teens 13 or older,548,769,2907,https://cdn.myanimelist.net/images/anime/4/75260.jpg
54,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,7.93,Action,"After overcoming various tumultuous events, mercenary sergeant Sousuke Sagara of Mithril and ""Whispered"" school girl Kaname Chidori return to their normal high school lives. Sousuke continues his efforts to assimilate with the civilian population and manage his mission at the same time, while Kaname attempts to support his endeavors (even though his antics often drive her up a wall).

However, as their lives calm, new problems begin to appear. The appearance of an independent terrorist organization  known as Amalgam and internal conflicts within Mithril threaten to wreak unity into a series of failures and betrayals. And new, powerful Arm Slave models only worsen the situation when the world's peace is at stake.

As Kaname and Sousuke face their own inner battles amidst life-threatening fights, will they be able to make the right choices and change their future?",TV,13,"Jul 14, 2005 to Oct 20, 2005",Finished Airing,"WOWOW, Kadokawa Shoten, KlockWorx, Happinet Pictures","ADV Films, Funimation, Kadokawa Pictures USA",Kyoto Animation,Light novel,24 min per ep,R - 17+ (violence & profanity),682,878,1268,https://cdn.myanimelist.net/images/anime/11/75261.jpg
55,Gakuen Alice,Gakuen Alice,学園アリス,7.64,"Comedy, Fantasy","Mikan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend!

Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru.

Gakuen Alice is a heartwarming comedy that follows Mikan and her friends' adventures in the academy, as well as their attempt to uncover the mysteries surrounding the problematic, fire-wielding student Natsume Hyuuga.",TV,26,"Oct 30, 2004 to May 14, 2005",Finished Airing,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,Manga,25 min per ep,G - All Ages,1276,1975,1397,https://cdn.myanimelist.net/images/anime/4/18118.jpg
